refYear,flowCode,partnerCode,primaryValue,iso3
2000,X,292,64367.0,GIB
2000,X,296,302465.0,KIR
2000,X,300,98653950.0,GRC
2000,X,304,105869.0,GRL
2000,X,308,258036.0,GRD
2000,X,316,1318709.0,GUM
2000,X,320,8218848.0,GTM
2000,X,324,12566242.0,GIN
2000,X,328,966712.0,GUY
2000,X,332,5686590.0,HTI
2000,X,336,31133.0,VAT
2000,X,340,4580143.0,HND
2000,X,344,1554141503.0,HKG
2000,X,348,30800722.0,HUN
2000,X,352,1302594.0,ISL
2000,X,364,146996887.0,IRN
2000,X,368,85203968.0,IRQ
2000,X,372,68092293.0,IRL
2000,X,376,534387.0,ISR
2000,X,380,757788222.0,ITA
2000,X,384,9369521.0,CIV
2000,X,388,5169609.0,JAM
2000,X,392,14415189665.0,JPN
2000,X,398,1173782.0,KAZ
2000,X,400,75298798.0,JOR
2000,X,404,23888201.0,KEN
2000,X,408,14271404.0,PRK
2000,X,410,4317875235.0,KOR
2000,X,414,71624093.0,KWT
2000,X,417,144433.0,KGZ
2000,X,418,880589.0,LAO
2000,X,422,44204158.0,LBN
2000,X,426,176188.0,LSO
2000,X,428,727389.0,LVA
2000,X,430,1991463.0,LBR
2000,X,434,3124740.0,LBY
2000,X,440,891690.0,LTU
2000,X,442,3630189.0,LUX
2000,X,446,3285494.0,MAC
2000,X,450,23541566.0,MDG
2000,X,454,434837.0,MWI
2000,X,458,1971841741.0,MYS
2000,X,462,11269287.0,MDV
2000,X,466,9587198.0,MLI
2000,X,470,3010112.0,MLT
2000,X,478,18648806.0,MRT
2000,X,480,40221258.0,MUS
2000,X,484,243994267.0,MEX
2000,X,490,2379224246.0,S19
2000,X,496,2997996.0,MNG
2000,X,498,433876.0,MDA
2000,X,500,1467492.0,MSR
2000,X,504,23604173.0,MAR
2000,X,508,9601519.0,MOZ
2000,X,512,15705017.0,OMN
2000,X,516,2282261.0,NAM
2000,X,520,1979114.0,NRU
2000,X,524,9458847.0,NPL
2000,X,527,857516.0,O19
2000,X,528,1837401124.0,NLD
2000,X,530,13196849.0,ANT
2000,X,533,477597.0,ABW
2000,X,540,9396659.0,NCL
2000,X,548,303929.0,VUT
2000,X,554,106896448.0,NZL
2000,X,558,2711974.0,NIC
2000,X,562,11466189.0,NER
2000,X,566,236398735.0,NGA
2000,X,568,41223.0,E19
2000,X,570,4977891.0,NIU
2000,X,574,2812487.0,NFK
2000,X,577,53022.0,F19
2000,X,579,39693423.0,NOR
2000,X,580,633243.0,MNP
2000,X,581,87986.0,UMI
2000,X,583,55371.0,FSM
2000,X,584,187213.0,MHL
2000,X,585,829361.0,PLW
2000,X,586,149232798.0,PAK
2000,X,591,164955297.0,PAN
2000,X,598,33494515.0,PNG
2000,X,600,2091258.0,PRY
2000,X,604,21603096.0,PER
2000,X,608,819528944.0,PHL
2000,X,616,91804100.0,POL
2000,X,620,50288589.0,PRT
2000,X,624,76603.0,GNB
2000,X,626,22607258.0,TLS
2000,X,634,12649941.0,QAT
2000,X,637,121832.0,A59
2000,X,642,10939049.0,ROU
2000,X,643,58256707.0,RUS
2000,X,646,456333.0,RWA
2000,X,654,791341.0,SHN
2000,X,659,89710.0,KNA
2000,X,660,131316.0,AIA
2000,X,662,340235.0,LCA
2000,X,670,85013.0,VCT
2000,X,674,137489.0,SMR
2000,X,678,538554.0,STP
2000,X,682,505441600.0,SAU
2000,X,686,18394806.0,SEN
2000,X,690,3204996.0,SYC
2000,X,694,1333835.0,SLE
2000,X,699,1151282289.0,IND
2000,X,702,6562377120.0,SGP
2000,X,703,6253074.0,SVK
2000,X,704,360645012.0,VNM
2000,X,705,23062365.0,SVN
2000,X,706,6735119.0,SOM
2000,X,710,176623120.0,ZAF
2000,X,716,7083159.0,ZWE
2000,X,724,932173705.0,ESP
2000,X,732,150911.0,ESH
2000,X,736,27894179.0,SDN
2000,X,740,4856073.0,SUR
2000,X,748,717823.0,SWZ
2000,X,752,112769701.0,SWE
2000,X,757,114856683.0,CHE
2000,X,760,60349430.0,SYR
2000,X,762,27900.0,TJK
2000,X,764,1026462557.0,THA
2000,X,768,18180584.0,TGO
2000,X,772,1695440.0,TKL
2000,X,776,885727.0,TON
2000,X,780,6785060.0,TTO
2000,X,784,747845709.0,ARE
2000,X,788,16158940.0,TUN
2000,X,792,198577079.0,TUR
2000,X,795,1759412.0,TKM
2000,X,796,417944.0,TCA
2000,X,798,11366.0,TUV
2000,X,800,2806042.0,UGA
2000,X,804,16829970.0,UKR
2000,X,807,546069.0,MKD
2000,X,818,199746261.0,EGY
2000,X,826,1507940699.0,GBR
2000,X,834,35687761.0,TZA
2000,X,842,8488730739.0,USA
2000,X,854,1043436.0,BFA
2000,X,858,28073760.0,URY
2000,X,860,451030.0,UZB
2000,X,862,28541394.0,VEN
2000,X,876,318478.0,WLF
2000,X,882,1010954.0,WSM
2000,X,887,73998253.0,YEM
2000,X,891,1424613.0,SCG
2000,X,894,1368724.0,ZMB
2001,M,0,30962141083.0,W00
2001,M,4,1427945.0,AFG
2001,M,8,1651.0,ALB
2001,M,12,437180284.0,DZA
2001,M,16,8270304.0,ASM
2001,M,20,39656.0,AND
2001,M,24,48799.0,AGO
2001,M,28,115531.0,ATG
2001,M,31,71.0,AZE
2001,M,32,30080527.0,ARG
2001,M,36,1814127625.0,AUS
2001,M,40,102741071.0,AUT
2001,M,48,23818000.0,BHR
2001,M,50,4919254.0,BGD
2001,M,51,17568.0,ARM
2001,M,52,26758.0,BRB
2001,M,56,211952505.0,BEL
2001,M,60,48138.0,BMU
2001,M,68,172932.0,BOL
2001,M,70,263272.0,BIH
